id,label
0,2
1,0
2,0
3,2
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,2
25,0
26,0
27,0
28,2
29,0
30,0
31,2
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,2
56,0
57,0
58,0
59,0
60,2
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,2
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,2
84,0
85,0
86,0
87,0
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,2
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,2
112,0
113,0
114,0
115,2
116,0
117,2
118,0
119,0
120,0
121,2
122,2
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,2
133,2
134,0
135,0
136,0
137,0
138,2
139,0
140,2
141,2
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,2
150,2
151,2
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,2
164,2
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,2
180,0
181,0
182,0
183,2
184,0
185,0
186,2
187,2
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,2
206,1
207,0
208,0
209,0
210,0
211,0
212,2
213,0
214,2
215,1
216,2
217,2
218,0
219,1
220,0
221,0
222,2
223,0
224,2
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,2
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,2
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,2
267,2
268,2
269,2
270,0
271,2
272,2
273,0
274,1
275,0
276,1
277,0
278,0
279,0
280,2
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,2
291,0
292,2
293,0
294,1
295,0
296,2
297,0
298,2
299,0
300,0
301,0
302,2
303,0
304,1
305,0
306,0
307,2
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,2
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,2
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,2
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,2
345,1
346,0
347,0
348,2
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,2
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,0
377,2
378,0
379,0
380,0
381,0
382,2
383,2
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,2
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,2
417,1
418,0
419,0
420,2
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,2
432,0
433,2
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,2
455,0
456,1
457,2
458,2
459,0
460,0
461,0
462,2
463,0
464,0
465,2
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,2
474,1
475,2
476,0
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,2
487,0
488,2
489,2
490,2
491,0
492,2
493,2
494,0
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,1
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,1
520,2
521,2
522,2
523,2
524,2
525,2
526,0
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,1
536,2
537,2
538,2
539,2
540,2
541,2
542,1
543,2
544,0
545,2
546,2
547,1
548,2
549,0
550,2
551,2
552,2
553,2
554,2
555,2
556,1
557,2
558,0
559,1
560,2
561,2
562,2
563,0
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,0
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,0
586,2
587,2
588,2
589,2
590,2
591,0
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,0
600,2
601,2
602,2
603,0
604,1
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,1
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,0
637,2
638,2
639,2
640,2
641,0
642,2
643,2
644,2
645,2
646,2
647,2
648,1
649,2
650,2
651,0
652,2
653,0
654,0
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,0
664,2
665,2
666,2
667,2
668,2
669,2
670,2
671,2
672,2
673,2
674,0
675,2
676,2
677,2
678,2
679,2
680,1
681,2
682,2
683,2
684,2
685,2
686,2
687,0
688,2
689,2
690,1
691,0
692,2
693,2
694,2
695,2
696,2
697,2
698,2
699,2
700,2
701,0
702,2
703,1
704,2
705,2
706,2
707,1
708,2
709,2
710,2
711,2
712,2
713,0
714,2
715,1
716,2
717,2
718,2
719,2
720,2
721,1
722,2
723,2
724,2
725,2
726,0
727,2
728,2
729,2
730,2
731,2
732,2
733,2
734,2
735,0
736,2
737,2
738,2
739,0
740,2
741,2
742,1
743,2
744,2
745,2
746,0
747,0
748,1
749,2
750,2
751,0
752,0
753,0
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,0
762,0
763,2
764,2
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,2
773,1
774,2
775,2
776,2
777,0
778,2
779,2
780,2
781,2
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,0
797,0
798,2
799,2
800,2
801,1
802,2
803,2
804,2
805,0
806,2
807,2
808,0
809,2
810,0
811,2
812,2
813,0
814,2
815,2
816,1
817,2
818,2
819,0
820,0
821,2
822,0
823,2
824,2
825,2
826,0
827,2
828,2
829,2
830,2
831,2
832,2
833,2
834,2
835,0
836,0
837,2
838,0
839,2
840,2
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,2
849,2
850,2
851,2
852,0
853,2
854,2
855,2
856,2
857,2
858,2
859,2
860,2
861,2
862,2
863,2
864,2
865,2
866,0
867,2
868,0
869,2
870,2
871,2
872,1
873,1
874,2
875,2
876,2
877,2
878,2
879,2
880,2
881,2
882,2
883,2
884,0
885,2
886,2
887,2
888,2
889,2
890,2
891,2
892,2
893,2
894,2
895,0
896,0
897,2
898,2
899,2
900,2
901,2
902,2
903,2
904,2
905,2
906,2
907,2
908,2
909,1
910,2
911,0
912,2
913,2
914,2
915,2
916,0
917,1
918,2
919,2
920,2
921,2
922,2
923,2
924,2
925,2
926,2
927,0
928,1
929,1
930,2
931,1
932,2
933,2
934,2
935,2
936,2
937,2
938,0
939,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,2
954,2
955,2
956,2
957,2
958,0
959,2
960,2
961,2
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,0
972,2
973,2
974,2
975,1
976,2
977,2
978,2
979,2
980,2
981,2
982,2
983,0
984,1
985,2
986,2
987,2
988,2
989,2
990,2
991,2
992,2
993,2
994,2
995,2
996,2
997,2
998,2
999,0
1000,0
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,2
1008,2
1009,2
1010,2
1011,0
1012,2
1013,2
1014,2
1015,2
1016,2
1017,2
1018,2
1019,0
1020,2
1021,0
1022,2
1023,2
1024,0
1025,2
1026,2
1027,0
1028,2
1029,2
1030,0
1031,0
1032,2
1033,2
1034,2
1035,1
1036,2
1037,2
1038,2
1039,2
1040,2
1041,2
1042,2
1043,2
1044,0
1045,2
1046,2
1047,0
1048,0
1049,2
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,1
1057,2
1058,0
1059,0
1060,0
1061,2
1062,0
1063,0
1064,2
1065,0
1066,0
1067,0
1068,0
1069,0
1070,2
1071,0
1072,2
1073,0
1074,2
1075,2
1076,2
1077,2
1078,2
1079,2
1080,2
1081,2
1082,2
1083,2
1084,2
1085,2
1086,2
1087,2
1088,2
1089,2
1090,2
1091,2
1092,2
1093,2
1094,2
1095,2
1096,2
1097,2
1098,0
1099,2
1100,2
1101,2
1102,2
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,2
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,0
1121,2
1122,2
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,0
1142,1
1143,2
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,1
1153,1
1154,1
1155,2
1156,1
1157,1
1158,1
